sourcedId,status,dateLastModified,title,grades,courseSourcedId,classCode,classType,location,schoolSourcedId,termSourcedIds,subjects,subjectCodes,periods
001582513,,,BCIS 1305,,0015825,,scheduled,LIBR,024901001,024901-2,,,03
001582514,,,BCIS 1305,,0015825,,scheduled,LIBR,024901001,024901-2,,,04
001582515,,,BCIS 1305,,0015825,,scheduled,LIBR,024901001,024901-2,,,05
001582516,,,BCIS 1305,,0015825,,scheduled,LIBR,024901001,024901-2,,,06
001582517,,,BCIS 1305,,0015825,,scheduled,LIBR,024901001,024901-2,,,07
001582518,,,BCIS 1305,,0015825,,scheduled,LIBR,024901001,024901-2,,,08
001582601,,,CAREER PREP 1,,0015826,,scheduled,,024901001,024901-3,,,01
001582602,,,CAREER PREP 1,,0015826,,scheduled,,024901001,024901-3,,,02
001582603,,,CAREER PREP 1,,0015826,,scheduled,,024901001,024901-3,,,03
001582604,,,CAREER PREP 1,,0015826,,scheduled,,024901001,024901-3,,,04
001582605,,,CAREER PREP 1,,0015826,,scheduled,,024901001,024901-3,,,05
001582606,,,CAREER PREP 1,,0015826,,homeroom,,024901001,024901-3,,,06
001582607,,,CAREER PREP 1,,0015826,,homeroom,,024901001,024901-3,,,07
001582608,,,CAREER PREP 1,,0015826,,homeroom,,024901001,024901-3,,,08
001582609,,,CAREER PREP 1,,0015826,,scheduled,LIB,024901001,024901-3,,,09
001582714,,,WLD2406 LEC/LAB,,0015827,,scheduled,AG,024901001,024901-1,,,04
001583101,,,PRIN OF MANUF,,0015831,,scheduled,AG,024901001,024901-3,,,01
001583102,,,PRIN OF MANUF,,0015831,,scheduled,AG,024901001,024901-3,,,02
001583111,,,PRIN OF MANUF,,0015831,,scheduled,AG,024901001,024901-3,,,01
001583112,,,PRIN OF MANUF,,0015831,,scheduled,AG,024901001,024901-3,,,02
001583207,,,WLD1407,,0015832,,homeroom,AG,024901001,024901-1,,,07
001583208,,,WLD1407,,0015832,,scheduled,AG,024901001,024901-1,,,07
001583209,,,WLD1407,,0015832,,scheduled,summ,024901001,024901-1,,,09
001583407,,,WLDG 1521,,0015834,,homeroom,AG,024901001,024901-2,,,07
001583607,,,WLDG 1557,,0015836,,homeroom,AG,024901001,024901-1,,,07
001583703,,,WLDG 1434,,0015837,,scheduled,AG,024901001,024901-1,,,03
001583805,,,WLDG 1435,,0015838,,homeroom,AG,024901001,024901-2,,,07
001584005,,,WLDG 2406,,0015840,,homeroom,AG,024901001,024901-1,,,05
001585003,,,ELECTRIC TECH I,,0015850,,scheduled,AG,024901001,024901-3,,,03
001585005,,,ELECTRIC TECH I,,0015850,,scheduled,AG,024901001,024901-3,,,05
001585103,,,ELECTRIC TECH 2,,0015851,,scheduled,AG,024901001,024901-3,,,03
001585105,,,ELECTRIC TECH 2,,0015851,,scheduled,AG,024901001,024901-3,,,05
001585203,,,5141,,0015852,,scheduled,AG,024901001,024901-1,,,03
001585303,,,WLD 2451,,0015853,,scheduled,AG,024901001,024901-2,,,03
001585405,,,Build Main Tech,,0015854,,scheduled,AG,024901001,024901-3,,,05
001585502,,,PRIN CONSTRUCT,,0015855,,scheduled,AG,024901001,024901-3,,,02
001585603,,,CONSTR MGT 1,,0015856,,scheduled,AG,024901001,024901-3,,,03
001585701,,,VNSG 1320,,0015857,,scheduled,LIBR,024901001,024901-2,,,01
001585801,,,VNSG 1116 Nutri,,0015858,,scheduled,FRER,024901001,024901-1,,,01
001585901,,,VNSG 1133 Gro&D,,0015859,,scheduled,FRER,024901001,024901-1,,,01
001586006,,,INTRO ENG DSGN,,0015860,,scheduled,PRMT,024901001,024901-1,,,06
001586109,,,WLDG1313,,0015861,,scheduled,summ,024901001,024901-1,,,09
001586209,,,WLDG1317,,0015862,,scheduled,summ,024901001,024901-1,,,09
001587101,,,FINANCIAL MATH,,0015871,,scheduled,2201,024901001,024901-3,,,01
001587103,,,FINANCIAL MATH,,0015871,,scheduled,2201,024901001,024901-3,,,03
001587104,,,FINANCIAL MATH,,0015871,,homeroom,2201,024901001,024901-3,,,04
001587107,,,FINANCIAL MATH,,0015871,,homeroom,2201,024901001,024901-3,,,07
001590008,,,PHYSICS,,0015900,,homeroom,1229,024901001,024901-3,,,08
001590104,,,ENGLISH 1,,0015901,,homeroom,1229,024901001,024901-3,,,04
001590204,,,ENGLISH 2,,0015902,,scheduled,1229,024901001,024901-3,,,04
001590304,,,ENGLISH 3,,0015903,,homeroom,1229,024901001,024901-3,,,04
001590403,,,ENGLISH 4,,0015904,,scheduled,1229,024901001,024901-3,,,03
001590404,,,ENGLISH 4,,0015904,,scheduled,1229,024901001,024901-3,,,04
001590405,,,ENGLISH 4,,0015904,,scheduled,1229,024901001,024901-3,,,05
001590406,,,ENGLISH 4,,0015904,,scheduled,1229,024901001,024901-3,,,06
001590503,,,ALGEBRA 1,,0015905,,homeroom,1229,024901001,024901-3,,,03
001590603,,,GEOMETRY,,0015906,,homeroom,1229,024901001,024901-3,,,03
001590808,,,BIOLOGY  1,,0015908,,homeroom,1229,024901001,024901-3,,,08
001590902,,,INT PHY&CHEM,,0015909,,scheduled,1229,024901001,024901-3,,,02
001591008,,,CHEMISTRY,,0015910,,scheduled,1229,024901001,024901-3,,,08
001591107,,,WLD GEOGRAPHY,,0015911,,homeroom,1229,024901001,024901-3,,,07
001591207,,,US HISTORY,,0015912,,homeroom,1229,024901001,024901-3,,,07
001591307,,,WLD HISTORY,,0015913,,scheduled,1229,024901001,024901-3,,,07
001591404,,,GOVERNMENT,,0015914,,scheduled,1229,024901001,024901-1,,,04
001591405,,,GOVERNMENT,,0015914,,scheduled,1229,024901001,024901-1,,,05
001591406,,,GOVERNMENT,,0015914,,scheduled,1229,024901001,024901-1,,,06
001591407,,,GOVERNMENT,,0015914,,scheduled,1229,024901001,024901-1,,,07
001591408,,,GOVERNMENT,,0015914,,scheduled,1229,024901001,024901-1,,,08
001591501,,,ECONOMICS,,0015915,,scheduled,1229,024901001,024901-2,,,01
001591502,,,ECONOMICS,,0015915,,scheduled,1229,024901001,024901-2,,,02
001591503,,,ECONOMICS,,0015915,,scheduled,1229,024901001,024901-2,,,03
